iter	RMSE
0	11831.624
1	11677.56396
2	11534.30283
3	11399.16668
4	11263.00382
5	11125.646
6	11023.98068
7	10917.53631
8	10827.31346
9	10746.16974
10	10652.44885
11	10580.70108
12	10503.03394
13	10443.2434
14	10396.39032
15	10347.09636
16	10290.37571
17	10265.7036
18	10227.01274
19	10181.94256
20	10136.48749
21	10104.43064
22	10080.99055
23	10056.38069
24	10029.72527
25	10001.13916
26	9970.022226
27	9939.202733
28	9914.129638
29	9890.399118
30	9868.172606
31	9847.159347
32	9827.388906
33	9806.234108
34	9787.864103
35	9765.649276
36	9752.674293
37	9731.576631
38	9726.109437
39	9710.410615
40	9691.252303
41	9676.253949
42	9667.350245
43	9653.806778
44	9648.084504
45	9635.252999
46	9624.442165
47	9610.257511
48	9598.943636
49	9592.413052
50	9587.514551
51	9583.495037
52	9573.5832
53	9565.869758
54	9555.860581
55	9548.551474
56	9541.058424
57	9534.529267
58	9526.077655
59	9518.480287
60	9514.982612
61	9504.778208
62	9499.964051
63	9491.708373
64	9487.85496
65	9478.301523
66	9473.90968
67	9468.527686
68	9460.611737
69	9454.788373
70	9449.847025
71	9444.959085
72	9440.29836
73	9438.171798
74	9435.124633
75	9432.107209
76	9426.74079
77	9423.174195
78	9417.365203
79	9413.939813
80	9404.639629
81	9399.628693
82	9389.923022
83	9386.815827
84	9382.765498
85	9379.030444
86	9372.932599
87	9371.306653
88	9364.477757
89	9359.876719
90	9355.215565
91	9348.612619
92	9347.114107
93	9345.483624
94	9337.593789
95	9330.183099
96	9322.442531
97	9320.68389
98	9315.651564
99	9311.063425
100	9304.451684
101	9298.09773
102	9293.387334
103	9291.997205
104	9284.82073
105	9281.875853
106	9275.079691
107	9271.551787
108	9266.106335
109	9260.070466
110	9258.453612
111	9253.432217
112	9252.914246
113	9249.174349
114	9245.605241
115	9243.836789
116	9242.417984
117	9239.292539
118	9233.777277
119	9229.845941
120	9224.440887
121	9216.074513
122	9214.663047
123	9213.206464
124	9211.770573
125	9210.236018
126	9205.710144
127	9203.994443
128	9200.997304
129	9198.022206
130	9193.003415
131	9189.868475
132	9188.979617
133	9184.849776
134	9181.019163
135	9177.502237
136	9174.846552
137	9174.016555
138	9169.071289
139	9163.885842
140	9160.90769
141	9159.596197
142	9155.137859
143	9152.437607
144	9150.356256
145	9145.955811
146	9142.78464
147	9141.737565
148	9139.188495
149	9138.275192
150	9136.962715
151	9133.074071
152	9132.052839
153	9130.934931
154	9128.53055
155	9127.691721
156	9125.545388
157	9124.163217
158	9121.775868
159	9121.043484
160	9118.140491
161	9117.301906
162	9115.233857
163	9114.044643
164	9113.30893
165	9111.696039
166	9110.895175
167	9108.630772
168	9106.553114
169	9102.534251
170	9100.182777
171	9099.170411
172	9094.838108
173	9093.934051
174	9092.040985
175	9089.73405
176	9085.896666
177	9084.956422
178	9082.551116
179	9081.035993
180	9079.957948
181	9075.432108
182	9072.515233
183	9071.193668
184	9068.617956
185	9062.582614
186	9060.331573
187	9057.340844
188	9056.727311
189	9053.571422
190	9052.356069
191	9050.382137
192	9045.576355
193	9041.08302
194	9039.095304
195	9034.562354
196	9026.775706
197	9025.538217
198	9022.492543
199	9021.648407
200	9021.127736
201	9014.545002
202	9011.181941
203	9010.258624
204	9006.996791
205	9005.624408
206	9002.222887
207	9000.913965
208	8999.093303
209	8994.452721
210	8991.792203
211	8989.17797
212	8988.012182
213	8985.74621
214	8983.648898
215	8982.557126
216	8981.333495
217	8978.688073
218	8974.45227
219	8974.048522
220	8971.535033
221	8971.231637
222	8952.691856
223	8951.743024
224	8947.874444
225	8945.42303
226	8944.42541
227	8943.386423
228	8942.367787
229	8939.640676
230	8936.497694
231	8930.247045
232	8928.825563
233	8925.153669
234	8923.091756
235	8920.905115
236	8918.741194
237	8912.77279
238	8912.020155
239	8908.239523
240	8905.643987
241	8904.865017
242	8899.790655
243	8899.636187
244	8897.454948
245	8894.926882
246	8892.066313
247	8890.392556
248	8886.989526
249	8885.102993
250	8884.656256
251	8883.751405
