iter	Passed	Remaining
0	46	46573
1	87	43635
2	131	43640
3	178	44447
4	229	45670
5	294	48764
6	375	53201
7	441	54692
8	491	54094
9	534	52918
10	583	52433
11	622	51279
12	666	50617
13	712	50196
14	757	49743
15	833	51237
16	904	52286
17	945	51603
18	989	51109
19	1024	50198
20	1060	49426
21	1094	48644
22	1128	47921
23	1164	47342
24	1198	46755
25	1259	47178
26	1324	47730
27	1358	47155
28	1392	46623
29	1426	46124
30	1459	45635
31	1493	45167
32	1526	44729
33	1562	44385
34	1595	43979
35	1628	43595
36	1662	43282
37	1696	42940
38	1728	42586
39	1762	42295
40	1796	42023
41	1830	41744
42	1865	41525
43	1898	41258
44	1932	41017
45	1966	40791
46	2001	40583
47	2036	40382
48	2070	40179
49	2108	40054
50	2141	39856
51	2176	39679
52	2227	39804
53	2284	40014
54	2352	40427
55	2397	40412
56	2429	40201
57	2462	40000
58	2495	39800
59	2530	39639
60	2562	39448
61	2596	39275
62	2633	39174
63	2668	39033
64	2707	38948
65	2749	38904
66	2804	39052
67	2892	39640
68	2956	39888
69	2990	39732
70	3025	39580
71	3059	39430
72	3102	39394
73	3142	39328
74	3179	39213
75	3218	39130
76	3254	39007
77	3288	38866
78	3321	38719
79	3360	38643
80	3399	38572
81	3434	38454
82	3468	38323
83	3501	38180
84	3533	38035
85	3571	37960
86	3610	37888
87	3645	37781
88	3683	37700
89	3716	37577
90	3752	37479
91	3788	37390
92	3822	37280
93	3860	37206
94	3895	37111
95	3929	37001
96	3964	36911
97	4003	36852
98	4041	36781
99	4081	36731
100	4130	36766
101	4186	36859
102	4239	36923
103	4279	36866
104	4321	36837
105	4387	37007
106	4467	37285
107	4537	37473
108	4597	37580
109	4666	37752
110	4727	37864
111	4784	37935
112	4847	38052
113	4909	38153
114	4962	38185
115	5001	38112
116	5033	37985
117	5066	37870
118	5100	37757
119	5132	37635
120	5164	37516
121	5198	37409
122	5231	37300
123	5262	37179
124	5304	37130
125	5362	37196
126	5409	37185
127	5449	37122
128	5488	37058
129	5530	37012
130	5581	37023
131	5619	36955
132	5661	36905
133	5707	36883
134	5755	36878
135	5820	36979
136	5900	37171
137	5992	37428
138	6094	37748
139	6188	38015
140	6260	38138
141	6445	38944
142	6615	39648
143	6706	39864
144	6764	39884
145	6813	39854
146	6873	39887
147	6931	39903
148	6984	39893
149	7042	39907
150	7093	39881
151	7162	39960
152	7204	39883
153	7248	39821
154	7292	39754
155	7327	39642
156	7365	39549
157	7403	39456
158	7441	39360
159	7477	39259
160	7510	39140
161	7543	39021
162	7577	38910
163	7610	38794
164	7643	38679
165	7677	38573
166	7737	38594
167	7779	38525
168	7815	38429
169	7908	38610
170	7979	38686
171	8054	38771
172	8109	38763
173	8171	38793
174	8242	38858
175	8303	38876
176	8368	38912
177	8449	39017
178	8538	39163
179	8620	39270
180	8705	39392
181	8886	39942
182	9003	40196
183	9088	40304
184	9153	40325
185	9207	40293
186	9245	40195
187	9285	40105
188	9342	40088
189	9379	39986
190	9411	39864
191	9447	39758
192	9482	39651
193	9514	39530
194	9547	39413
195	9582	39307
196	9615	39194
197	9648	39081
198	9680	38964
199	9712	38850
200	9745	38740
201	9777	38627
202	9813	38527
203	9845	38418
204	9878	38307
205	9910	38198
206	9942	38088
207	9975	37981
208	10009	37883
209	10041	37776
210	10074	37670
211	10107	37568
212	10141	37471
213	10174	37368
214	10205	37262
215	10237	37157
216	10269	37057
217	10302	36958
218	10335	36858
219	10368	36759
220	10400	36659
221	10433	36564
222	10465	36465
223	10497	36366
224	10531	36274
225	10563	36176
226	10595	36079
227	10628	35989
228	10662	35898
229	10702	35828
230	10800	35953
231	10848	35911
232	10889	35844
233	10920	35747
234	10954	35658
235	10990	35579
236	11026	35497
237	11061	35413
238	11093	35322
239	11127	35238
240	11161	35152
241	11195	35067
242	11227	34976
243	11260	34890
244	11294	34806
245	11328	34722
246	11360	34634
247	11396	34555
248	11428	34468
249	11462	34386
250	11494	34301
251	11528	34219
252	11561	34135
253	11595	34055
254	11630	33979
255	11666	33906
256	11700	33825
257	11734	33747
258	11768	33670
259	11804	33598
260	11838	33518
261	11872	33441
262	11904	33359
263	11938	33281
264	11970	33201
265	12003	33122
266	12035	33041
267	12067	32960
268	12103	32890
269	12142	32828
270	12175	32751
271	12208	32676
272	12242	32600
273	12274	32523
274	12307	32447
275	12342	32375
276	12376	32305
277	12409	32229
278	12442	32154
279	12475	32080
280	12508	32005
281	12539	31927
282	12572	31852
283	12604	31778
284	12636	31703
285	12670	31632
286	12703	31560
287	12735	31484
288	12766	31407
289	12799	31337
290	12831	31263
291	12865	31193
292	12897	31120
293	12928	31046
294	12962	30977
295	12994	30905
296	13027	30835
297	13060	30765
298	13095	30701
299	13128	30633
300	13161	30563
301	13193	30493
302	13226	30425
303	13258	30355
304	13290	30284
305	13322	30214
306	13354	30144
307	13389	30082
308	13423	30018
309	13455	29950
310	13488	29882
311	13521	29817
312	13553	29747
313	13586	29682
314	13621	29620
315	13653	29552
316	13686	29488
317	13719	29423
318	13751	29357
319	13785	29294
320	13818	29229
321	13851	29165
322	13884	29101
323	13915	29033
324	13947	28968
325	13980	28904
326	14012	28839
327	14046	28778
328	14078	28712
329	14110	28649
330	14145	28589
331	14177	28526
332	14209	28462
333	14242	28400
334	14275	28336
335	14307	28274
336	14339	28211
337	14372	28148
338	14429	28136
339	14489	28127
340	14530	28080
341	14564	28021
342	14598	27962
343	14632	27903
344	14664	27841
345	14697	27781
346	14730	27721
347	14763	27660
348	14799	27605
349	14831	27545
350	14864	27484
351	14898	27426
352	14930	27365
353	14964	27308
354	15000	27254
355	15033	27195
356	15065	27134
357	15099	27078
358	15134	27023
359	15167	26965
360	15202	26909
361	15234	26850
362	15267	26791
363	15301	26734
364	15335	26679
365	15368	26621
366	15400	26562
367	15436	26509
368	15469	26453
369	15501	26394
370	15535	26339
371	15570	26285
372	15603	26228
373	15639	26177
374	15673	26121
375	15706	26065
376	15740	26010
377	15775	25958
378	15811	25907
379	15845	25852
380	15879	25799
381	15912	25743
382	15947	25690
383	15980	25635
384	16012	25577
385	16043	25520
386	16079	25469
387	16115	25419
388	16147	25363
389	16185	25315
390	16218	25260
391	16250	25205
392	16287	25156
393	16320	25101
394	16353	25047
395	16386	24993
396	16419	24939
397	16451	24883
398	16483	24828
399	16517	24776
400	16550	24721
401	16582	24667
402	16614	24612
403	16647	24559
404	16679	24504
405	16712	24451
406	16744	24396
407	16783	24352
408	16817	24300
409	16848	24245
410	16880	24191
411	16914	24139
412	16945	24085
413	16977	24031
414	17011	23979
415	17043	23926
416	17075	23873
417	17110	23823
418	17143	23771
419	17176	23720
420	17209	23667
421	17242	23616
422	17274	23564
423	17308	23513
424	17340	23461
425	17373	23409
426	17413	23367
427	17486	23369
428	17543	23350
429	17591	23318
430	17623	23265
431	17655	23213
432	17687	23160
433	17718	23107
434	17751	23056
435	17790	23013
436	17823	22962
437	17855	22909
438	17887	22858
439	17919	22807
440	17952	22756
441	17983	22703
442	18015	22651
443	18048	22601
444	18081	22550
445	18113	22500
446	18145	22448
447	18178	22397
448	18209	22346
449	18241	22295
450	18272	22243
